"item","size1","size2","size3","size4","amt","categ"
"Shrimp w/ Chinese Veg.",6.99,9.95,6.25,8.3,0,"Seafood"
"Shrimp w/ Curry Sauce",6.99,9.95,6.25,8.3,0,"Seafood"
"Shrimp w/ Garlic Sauce",6.99,9.95,6.25,8.3,0,"Seafood"
"Shrimp w/ Lobster Sauce",6.99,9.95,6.25,8.3,0,"Seafood"
"Shrimp w/ Mixed Veg.",6.99,9.95,6.25,8.3,0,"Seafood"
"Shrimp w/ Snow Peas",6.99,9.95,6.25,8.3,0,"Seafood"
"Spring Roll (2)",2.5,NULL,NULL,NULL,0,"Appetizers"
"Steam Broccoli",NULL,8.25,NULL,NULL,0,"Vegetable"
"Steam Chicken w/ Broccoli",6.35,9.25,6.25,8.3,0,"Vegetable"
"Steam Chicken w/ Mixed Veg.",6.35,9.25,6.25,8.3,0,"Vegetable"
"Steam Dumplings",5.25,NULL,NULL,NULL,0,"Appetizers"
"Steam Mixed Veg.",NULL,8.25,NULL,NULL,0,"Vegetable"
"Steam Shrimp w/ Broccoli",6.99,9.95,6.25,8.3,0,"Vegetable"
"Steam Shrimp w/ Mixed Veg.",6.99,9.95,6.25,8.3,0,"Vegetable"
"Sweet & Sour Chicken",NULL,9.25,6.25,8.3,0,"Poultry"
"Sweet & Sour Pork",NULL,9.25,6.25,8.3,0,"Pork"
"Sweet & Sour Sauce",1,NULL,NULL,NULL,0,"Side Orders"
"Sweet & Sour Shrimp",NULL,9.95,6.25,8.3,0,"Seafood"
"Szechuan Chicken",NULL,10.35,NULL,NULL,0,"Szechuan & Hunan Cuisine"
"Teriyaki Beef (5)",4.99,NULL,NULL,NULL,0,"Appetizers"
"Teriyaki Chicken (5)",4.69,NULL,NULL,NULL,0,"Appetizers"
"Veg. w/ Bean Curd Soup",2.5,3.5,NULL,NULL,0,"Soup"
"Vegetable Chow Mein",5.1,7.5,6.25,8.3,0,"Chow Mein"
"Vegetable Egg Foo Young",NULL,8.5,NULL,8.3,0,"Egg Foo Young"
"Vegetable Fried Rice",5.1,7.5,NULL,NULL,0,"Fried Rice"
"Vegetable Lo Mein",5.1,7.5,6.25,8.3,0,"Lo Mein"
"Vegetable Mai Fun",5.1,7.5,6.25,8.3,0,"Mai Fun"
"White Rice",2.5,3,NULL,NULL,0,"Side Orders"
"Wonton Egg Drop Soup",2.5,3.5,NULL,NULL,0,"Soup"
"Wonton Soup",2.5,3.5,NULL,NULL,0,"Soup"
